"cntrID","org_cntr_num","org_1s_sev","org_1s_sup_sev","sup_cntr_num","sup_cntr_avg_price","sup_cntr_avg_penalty","sup_no_pnl_share","sup_okpd_exp","sup_1s_sev","sup_1s_org_sev","sup_sim_price","price_higher_pmp","price_too_low","cntr_result"
1401840,36,0,0,2,666645,0,1,1,0,0,0.5,0,0,1
1401843,125,0,0,1,135000,0,1,1,0,0,1,0,0,1
1401845,2157,0,0,1,153400,0,1,1,0,0,1,0,0,1
1401848,93,0,0,3,117289,0,1,1,0,0,0.66667,0,1,1
1401851,673,0,0,2,76460,0,1,1,0,0,0.5,0,0,1
1401854,2110,0,0,9,1071512,0,1,1,0,0,0.11111,0,0,1
1401856,365,0,0,3,1727919,0,1,1,0,0,0.33333,0,0,1
1401857,2398,0,0,37,326404,0,1,1,0,0,0.24324,0,0,1
1401859,5428,0,0,3,126666,0,1,1,0,0,1,0,0,1
1401862,15,0,0,1,149000,0,1,1,0,0,1,0,0,1
1401863,648,0,0,224,170210,0,1,1,0,0,0.08036,0,0,1
1401865,770,0,0,1,672620,0,1,1,0,0,1,0,0,1
1401868,27,0,0,69,1027251,0,1,1,0,0,0.11594,0,0,1
1401871,452,0,0,51,1010819,0,1,1,0,0,0.11765,0,0,1
1401874,65,0,0,1,2826,0,1,1,0,0,1,0,0,1
1401876,343,0,0,2,29111155,0,1,1,0,0,0.5,0,0,1
1401877,203,0,0,25,2384910,0,1,1,0,0,0.12,0,0,1
1401879,365,0,0,1,181500,0,1,1,0,0,1,0,0,1
1401880,280,0,0,3,705630,0,1,1,0,0,0.33333,0,0,1
1401882,20,0,0,2,132438,0,1,1,0,0,0.5,0,0,1
1401883,716,0.00279,0,5,851594,0,1,1,0,0,0.2,0,0,1
1401885,40,0,0,17,563772,0,1,1,0,0,0.47059,0,0,1
1401886,716,0.00279,0,33,201668,0,1,1,0,0,0.18182,0,0,1
1401888,280,0,0,2,750363,0,1,1,0,0,0.5,0,0,1
1401894,97,0,0,3,15051,0,1,1,0,0,0.66667,0,0,1
1401899,199,0,0,1,210000,0,1,1,0,0,1,0,0,1
1401900,365,0,0,2,59000,0,1,1,0,0,0.5,0,0,1
1401903,39,0,0,2,376600,0,1,1,0,0,1,0,0,1
1401905,138,0,0,1,854313,0,1,1,0,0,1,0,0,1
1401908,365,0,0,2,59000,0,1,1,0,0,0.5,0,0,1
1401914,289,0,0,2,75540,0,1,1,0,0,0.5,0,0,1
1401917,5,0,0,9,1071512,0,1,1,0,0,0.22222,0,0,1
1401919,49,0,0,2,3173963,0,1,1,0,0,0.5,1,0,1
1401920,1200,0,0,1,5820,0,1,1,0,0,1,0,1,1
1401922,135,0,0,1,235000,0,1,1,0,0,1,0,0,1
1401923,1017,0,0,1,448359,0,1,1,0,0,1,0,0,1
1401926,770,0,0,1,95550,0,1,1,0,0,1,0,0,1
1401928,452,0,0,22,138315,0,1,1,0,0,0.13636,0,0,1
1401931,770,0,0,1,1278575,0,1,1,0,0,1,0,0,1
