,cntrID,org_cntr_num,org_1s_sev,org_1s_sup_sev,sup_cntr_num,sup_cntr_avg_price,sup_cntr_avg_penalty,sup_no_pnl_share,sup_okpd_exp,sup_1s_sev,sup_1s_org_sev,sup_sim_price,supType,orgForm,price_higher_pmp,price_too_low,price,pmp,okpd,cntr_result
4471,1558261,124,0.0,0.0,104,193100.0,0.0,1.0,0.00962,0,0.0,0.07692,0,0,0,0,298949.74,300452.0,101314113,0
5833,1429666,1258,0.0,0.00079,90,132106.0,0.0,1.0,0.9888899999999999,0,0.0,0.2,3,13,0,0,122990.0,126514.85,0,1
4348,1556294,52,0.0,0.0,16,457855.0,0.0,1.0,0.125,0,0.0,0.125,0,0,0,0,246857.6,289380.0,105151113,0
4763,1469201,561,0.0,0.0,56,190085.0,0.0,1.0,1.0,0,0.0,0.053570000000000007,3,13,0,0,28340.0,30515.0,0,1
3649,1413576,581,0.0,0.0,246,295662.0,0.0,1.0,1.0,0,0.0,0.08943,3,19,0,1,50966.0,120000.0,0,1
3626,1538638,2697,0.0,0.0,73,177745.0,0.0,1.0,0.9041100000000001,0,0.0,0.06849,3,0,0,0,421344.0,0.0,0,0
1789,1491789,44,0.0,0.0,253,186068.0,0.0,1.0,1.0,0,0.0,0.09881000000000001,3,0,0,0,166009.55,189725.3,0,0
3934,1455924,1258,0.0,0.00079,15,115951.0,0.0,1.0,1.0,0,0.0,0.2,3,13,0,0,15300.0,18803.7,0,1
2059,1498778,39,0.0,0.0,1,421076.0,0.0,1.0,1.0,0,0.0,1.0,3,0,0,0,421076.1,443238.0,0,0
3076,1416949,179,0.0055899999999999995,0.0,44,217089.0,0.0,1.0,1.0,0,0.0,0.13635999999999998,3,8,0,0,353950.0,0.0,0,1
4529,1434218,42,0.0,0.0,18,461805.0,0.0,1.0,1.0,0,0.0,0.55556,3,16,0,0,468850.0,468850.0,0,1
4013,1546208,247,0.0,0.0,1,30000.0,0.0,1.0,1.0,0,0.0,1.0,2,8,0,0,30000.0,33000.0,0,0
80,1398088,2110,0.0,0.0,30,127528.0,0.0,1.0,1.0,0,0.0,0.2,3,7,0,0,211585.0,217519.5,0,1
1902,1495028,1213,0.00082,0.0,8,124074.0,0.0,1.0,1.0,0,0.0,0.125,3,0,0,0,317533.23,499754.4,0,0
289,1418809,1922,0.0,0.0,35,583907.0,0.0,1.0,1.0,0,0.0,0.028569999999999998,3,7,0,0,2671996.6,2857751.0,0,1
4686,1562528,773,0.0,0.0,87,97697.0,0.0,1.0,0.01149,0,0.0,0.11494000000000001,3,8,0,0,46430.0,46666.0,103918110,0
2024,1398240,24,0.0,0.0,255,196026.0,0.0,1.0,1.0,0,0.0,0.33725,1,0,0,0,187380.0,228609.9,0,1
4922,1565797,1458,0.0,0.0,8,144016.0,0.0,1.0,0.25,0,0.0,0.125,0,0,0,0,211708.32,313646.0,105130111,0
1527,1422530,179,0.0055899999999999995,0.0,291,196459.0,0.0,1.0,1.0,0,0.0,0.15808,3,13,0,0,84700.0,114800.0,0,1
1528,1432531,182,0.0,0.0,291,196459.0,0.0,1.0,1.0,0,0.0,0.10653,3,13,0,1,62660.0,104452.0,0,1
3055,1392985,6408,0.0,0.0,12,263228.0,0.0,1.0,1.0,0,0.0,0.33333,3,7,0,0,75650.0,85000.0,0,1
75,1420178,2697,0.0,0.0,7,5627974.0,0.0,1.0,1.0,0,0.0,0.42857,3,13,0,0,11880423.38,11940124.0,0,0
2345,1508059,61,0.0,0.0,25,257396.0,0.0,1.0,1.0,0,0.0,0.04,0,45,0,0,713812.0,755570.0,0,0
521,1395730,43,0.0,0.0,566,481791.0,0.0,1.0,1.0,0,0.0,0.18020999999999998,3,7,0,0,208080.0,208080.0,0,1
1892,1388196,92,0.0,0.0,3,38766.0,0.0,1.0,1.0,0,0.0,1.0,3,13,0,1,39300.0,136000.0,0,1
